event,Number_of_Events,Avg_Move_5min,Avg_Move_24h,Avg_Move_48h,Max_Move
Factory Orders m/m,3,0.032333333333326664,0.38999999999998636,1.8846666666666654,2.826999999999998
Housing Starts y/y,10,0.03209999999999695,0.48149999999999693,0.8415999999999997,1.799999999999983
Average Hourly Earnings m/m,5,0.032000000000005004,0.032000000000005004,0.9795999999999992,1.8029999999999973
Core PPI m/m,5,0.031799999999998364,0.5481999999999971,1.2128000000000043,2.0130000000000052
Core Machinery Orders m/m,12,0.031583333333332554,0.6605833333333303,0.974999999999992,3.691999999999979
Final Manufacturing PMI,23,0.030782608695654575,1.129304347826089,1.7995238095238133,6.4550000000000125
Capacity Utilization Rate,5,0.030600000000004002,0.6413999999999873,1.7488,4.1200000000000045
Business Inventories m/m,12,0.029416666666669755,0.7027500000000065,1.0790833333333343,4.034999999999997
Advance GDP q/q,4,0.02875000000000938,0.7047500000000113,0.39000000000000057,0.9300000000000068
Tokyo Core CPI y/y,13,0.02869230769230696,0.1575384615384595,1.1130000000000018,3.399000000000001
Trade Balance,10,0.02769999999999868,0.6221000000000003,0.8061000000000007,3.936000000000007
Existing Home Sales,7,0.02757142857142623,0.4654285714285647,0.27800000000000374,0.47999999999998977
Tertiary Industry Activity m/m,11,0.027181818181818782,0.3859999999999957,0.8253636363636345,2.5720000000000027
Prelim Machine Tool Orders y/y,12,0.026666666666670835,0.7225833333333375,0.9707500000000048,2.080999999999989
Core CPI m/m,10,0.026399999999995316,0.669599999999997,1.0158999999999991,1.545000000000016
Revised Nonfarm Productivity q/q,1,0.02600000000001046,0.4619999999999891,0.4300000000000068,0.4300000000000068
10-y Bond Auction,24,0.025909090909089307,0.5238636363636366,1.0057619047619024,3.524000000000001
Pending Home Sales m/m,11,0.02545454545454039,0.7603636363636368,1.1697000000000002,4.375999999999976
Core PCE Price Index m/m,5,0.02539999999999054,0.1047999999999945,0.7436000000000036,1.4709999999999752
Final Services PMI,11,0.025,0.8274999999999949,0.8712000000000046,1.9190000000000111
Monetary Base y/y,11,0.024636363636365,0.8423636363636381,1.5557272727272726,4.807999999999993
CB Leading Index m/m,6,0.024333333333340573,0.3058333333333347,0.8648333333333321,1.9739999999999895
Flash Manufacturing PMI,21,0.023523809523806807,0.4852380952380938,0.6901904761904735,1.8670000000000186
Chicago PMI,12,0.023363636363639403,0.2747272727272694,1.8329000000000009,4.352000000000004
ADP Non-Farm Employment Change,12,0.02300000000000561,0.6656666666666714,1.501416666666671,4.829000000000008
Prelim GDP Price Index y/y,3,0.02300000000000561,0.554333333333337,0.9576666666666634,1.7959999999999923
Goods Trade Balance,2,0.02200000000000557,0.11399999999999011,0.6324999999999932,0.7580000000000098
CB Consumer Confidence,10,0.021399999999999864,0.6632999999999981,1.3775999999999926,4.2239999999999895
BSI Manufacturing Index,4,0.0210000000000079,0.758499999999998,1.1824999999999903,2.438999999999993
Natural Gas Storage,48,0.020723404255318927,0.6831276595744693,0.8625652173913061,5.609000000000009
M2 Money Stock y/y,11,0.020454545454544937,0.5439090909090912,0.8810909090909071,2.492999999999995
Prelim UoM Consumer Sentiment,11,0.019636363636364382,0.019636363636364382,0.5147272727272733,1.2050000000000125
New Home Sales,8,0.019124999999995396,0.2597500000000039,0.6615000000000038,2.1580000000000155
SPPI y/y,11,0.018636363636364773,0.6467272727272732,0.9732727272727288,2.1950000000000216
Average Cash Earnings y/y,11,0.01854545454545783,0.5588181818181837,0.5318181818181839,1.4050000000000011
Richmond Manufacturing Index,12,0.018272727272721504,0.8174545454545445,0.856818181818188,1.6570000000000107
Final GDP q/q,4,0.017749999999992383,1.0414999999999992,0.8155000000000072,1.539999999999992
Revised UoM Consumer Sentiment,9,0.017555555555557274,0.017555555555557274,0.6946666666666709,1.617999999999995
Mortgage Delinquencies,2,0.01649999999999352,0.7955000000000041,1.711500000000001,2.516999999999996
RCM/TIPP Economic Optimism,12,0.015999999999995868,1.0053333333333352,1.2985000000000018,2.555000000000007
Industrial Production m/m,7,0.015571428571425778,0.3088571428571437,0.5054285714285689,1.1519999999999868
Unemployment Rate,6,0.014166666666663255,0.5371666666666689,1.4758333333333364,4.5049999999999955
Household Spending y/y,7,0.012285714285716105,0.012285714285716105,0.6032857142857162,1.3530000000000086
PPI y/y,7,0.012142857142858279,0.6042857142857088,1.3151428571428596,2.3880000000000052
Durable Goods Orders m/m,1,0.012000000000000455,0.30400000000000205,0.44999999999998863,0.44999999999998863
Building Permits,2,0.01100000000000989,1.9770000000000039,1.7225000000000108,2.444000000000017
Core Durable Goods Orders m/m,2,0.010000000000005116,0.2575000000000074,0.13650000000001228,0.1880000000000166
Cleveland Fed Inflation Expectations,4,0.009750000000003922,0.6792500000000032,0.9967500000000058,1.4560000000000173
Tankan Manufacturing Index,3,0.00866666666666068,0.3569999999999898,0.5786666666666633,0.8240000000000123
Empire State Manufacturing Index,1,0.008000000000009777,0.88900000000001,0.42500000000001137,0.42500000000001137
Construction Spending m/m,2,0.006000000000000227,1.3060000000000116,2.615000000000009,2.615000000000009
Prelim GDP q/q,2,0.006000000000000227,1.2764999999999986,1.4050000000000011,1.6850000000000023
Retail Sales y/y,1,0.0020000000000095497,0.5180000000000007,0.5980000000000132,0.5980000000000132
Core Retail Sales m/m,1,0.001999999999981128,0.14300000000000068,1.0349999999999966,1.0349999999999966
NAHB Housing Market Index,2,0.0014999999999929514,1.36399999999999,2.0039999999999907,2.3739999999999952
