DateTime,currency,event,actual,previous,Close_5min_before,Close_at_release,Close_5min_after,Close_24h_after,Close_48h_after
2024-03-04 23:30:00,JPY,Tokyo Core CPI y/y,2.5%,1.8%,150.508,150.504,150.503,149.973,148.416
2024-03-05 03:35:00,JPY,10-y Bond Auction,0.72|3.2,0.74|3.6,150.377,150.362,150.388,149.762,147.827
2024-03-05 14:45:00,USD,Final Services PMI,52.3,51.3,149.968,149.943,149.943,149.366,148.024
2024-03-05 15:00:00,USD,ISM Services PMI,52.6,53.4,149.932,149.926,149.946,149.353,147.996
2024-03-05 15:36:00,USD,RCM/TIPP Economic Optimism,43.5,44.0,149.859,149.904,149.895,149.421,148.046
2024-03-06 13:15:00,USD,ADP Non-Farm Employment Change,140K,111K,149.227,149.24,149.23,148.058,147.129
2024-03-06 23:30:00,JPY,Average Cash Earnings y/y,2.0%,0.8%,148.542,148.416,148.505,147.863,0.0
2024-03-07 03:35:00,JPY,30-y Bond Auction,1.77|2.9,1.79|3.2,147.902,147.827,147.88,147.907,0.0
2024-03-07 12:30:00,USD,Challenger Job Cuts y/y,8.8%,-20.0%,148.146,148.173,148.159,147.046,0.0
2024-03-07 15:30:00,USD,Natural Gas Storage,-40B,-96B,148.033,148.049,148.043,147.097,0.0
2024-03-07 20:00:00,USD,Consumer Credit m/m,19.5B,0.9B,147.707,147.735,147.773,0.0,0.0
2024-03-07 23:30:00,JPY,Household Spending y/y,-6.3%,-2.5%,147.863,147.863,147.87,0.0,0.0
2024-03-07 23:50:00,JPY,Bank Lending y/y,3.0%,3.1%,147.894,147.893,147.82,0.0,0.0
2024-03-08 05:00:00,JPY,Leading Indicators,109.9%,110.2%,147.041,147.106,147.138,0.0,0.0
2024-03-08 06:00:00,JPY,Economy Watchers Sentiment,51.3,50.2,147.125,147.102,147.027,0.0,0.0
2024-03-10 22:50:00,JPY,Final GDP q/q,0.1%,-0.1%,146.986,146.94,146.951,147.366,147.359
2024-03-11 04:59:00,JPY,Prelim Machine Tool Orders y/y,-8.0%,-14.0%,146.522,146.611,146.617,147.422,147.989
2024-03-11 22:50:00,JPY,BSI Manufacturing Index,-6.7,5.7,147.365,147.366,147.358,147.359,147.851
2024-03-12 09:00:00,USD,NFIB Small Business Index,89.4,89.9,147.825,147.786,147.913,147.882,148.04
2024-03-12 11:30:00,USD,Core CPI m/m,0.4%,0.4%,147.7,147.724,147.703,147.686,148.16
2024-03-12 16:01:00,USD,10-y Bond Auction,4.17|2.5,4.09|2.6,147.655,147.61,147.629,147.626,148.301
2024-03-12 17:00:00,USD,Federal Budget Balance,-296.3B,-21.9B,147.644,147.616,147.599,147.662,148.262
2024-03-13 13:30:00,USD,Crude Oil Inventories,-1.5M,1.4M,147.676,147.67,147.658,148.353,149.036
2024-03-13 16:01:00,USD,30-y Bond Auction,4.33|2.5,4.36|2.4,147.756,147.626,147.656,148.301,0.0
2024-03-14 13:00:00,USD,Business Inventories m/m,0.0%,0.3%,148.263,148.295,148.292,149.032,0.0
2024-03-14 13:30:00,USD,Natural Gas Storage,-9B,-40B,148.316,148.353,148.332,149.036,0.0
2024-03-15 03:30:00,JPY,Tertiary Industry Activity m/m,0.3%,0.5%,148.691,148.711,148.817,0.0,0.0
2024-03-15 12:15:00,USD,Industrial Production m/m,0.1%,-0.5%,149.033,149.052,149.035,0.0,0.0
2024-03-15 13:00:00,USD,Prelim UoM Consumer Sentiment,76.5,76.9,149.045,149.032,149.016,0.0,0.0
2024-03-17 22:50:00,JPY,Core Machinery Orders m/m,-1.7%,2.7%,149.059,149.055,149.08,149.606,151.289
2024-03-18 13:00:00,USD,NAHB Housing Market Index,51,48,149.102,149.1,149.098,150.885,151.474
2024-03-19 02:36:00,JPY,BOJ Policy Rate,<0.10%,-0.10%,150.046,150.112,150.275,151.359,150.995
2024-03-19 19:00:00,USD,TIC Long-Term Purchases,36.1B,158.6B,151.019,151.047,151.239,150.748,151.631
2024-03-20 17:00:00,USD,Federal Funds Rate,5.50%,5.50%,151.199,151.199,151.155,151.586,0.0
2024-03-20 22:50:00,JPY,Trade Balance,-0.45T,0.01T,150.511,150.532,150.502,151.537,0.0
2024-03-21 12:45:00,USD,Flash Manufacturing PMI,52.5,52.2,151.72,151.723,151.721,151.383,0.0
2024-03-21 13:00:00,USD,Existing Home Sales,4.38M,4.00M,151.72,151.713,151.701,151.424,0.0
2024-03-21 13:30:00,USD,Natural Gas Storage,7B,-9B,151.69,151.68,151.697,151.41,0.0
2024-03-21 22:30:00,JPY,National Core CPI y/y,2.8%,2.0%,151.572,151.523,151.569,0.0,0.0
2024-03-25 13:00:00,USD,New Home Sales,662K,664K,151.498,151.515,151.496,151.567,151.393
2024-03-25 22:50:00,JPY,SPPI y/y,2.1%,2.1%,151.407,151.405,151.417,151.718,151.344
2024-03-26 04:00:00,JPY,BOJ Core CPI y/y,2.3%,2.6%,151.267,151.268,151.253,151.784,151.429
2024-03-26 11:30:00,USD,Core Durable Goods Orders m/m,0.5%,-0.4%,151.514,151.489,151.488,151.368,151.301
2024-03-26 12:00:00,USD,S&P/CS Composite-20 HPI y/y,6.6%,6.2%,151.529,151.505,151.468,151.33,151.345
2024-03-26 12:59:00,USD,Richmond Manufacturing Index,-11,-5,151.549,151.562,151.563,151.388,151.384
2024-03-26 13:00:00,USD,CB Consumer Confidence,104.7,104.8,151.545,151.567,151.552,151.393,151.383
2024-03-27 13:30:00,USD,Crude Oil Inventories,3.2M,-2.0M,151.384,151.387,151.381,151.399,151.324
2024-03-28 12:45:00,USD,Chicago PMI,41.4,44.0,151.356,151.386,151.375,151.303,0.0
2024-03-28 13:00:00,USD,Pending Home Sales m/m,1.6%,-4.7%,151.374,151.383,151.384,151.31,0.0
2024-03-28 13:30:00,USD,Natural Gas Storage,-36B,7B,151.396,151.399,151.395,151.324,0.0
2024-03-28 22:30:00,JPY,Tokyo Core CPI y/y,2.4%,2.5%,151.301,151.277,151.284,0.0,0.0
2024-03-28 22:50:00,JPY,Prelim Industrial Production m/m,-0.1%,-6.7%,151.285,151.293,151.296,0.0,0.0
2024-03-29 04:00:00,JPY,Housing Starts y/y,-8.2%,-7.5%,151.346,151.347,151.345,0.0,0.0
2024-03-29 11:30:00,USD,Core PCE Price Index m/m,0.3%,0.5%,151.227,151.226,151.23,0.0,0.0
2024-03-31 22:50:00,JPY,Tankan Manufacturing Index,11,12,151.295,151.292,151.303,151.712,151.587
2024-03-31 23:30:00,JPY,Final Manufacturing PMI,48.2,48.2,151.335,151.325,151.324,151.743,151.561
2024-04-01 12:45:00,USD,Final Manufacturing PMI,51.9,52.5,151.699,151.699,151.694,151.574,151.647
2024-04-01 13:00:00,USD,ISM Manufacturing PMI,50.3,47.8,151.7,151.699,151.653,151.585,151.656
2024-04-01 22:50:00,JPY,Monetary Base y/y,1.6%,2.4%,151.698,151.712,151.678,151.587,151.691
2024-04-02 02:35:00,JPY,10-y Bond Auction,0.75|3.8,0.72|3.2,151.718,151.718,151.727,151.639,151.633
2024-04-02 13:00:00,USD,JOLTS Job Openings,8.76M,8.75M,151.598,151.585,151.613,151.656,151.655
2024-04-03 11:15:00,USD,ADP Non-Farm Employment Change,184K,155K,151.765,151.743,151.743,151.678,151.585
2024-04-03 12:45:00,USD,Final Services PMI,51.7,51.7,151.637,151.647,151.67,151.652,151.599
2024-04-03 13:00:00,USD,ISM Services PMI,51.4,52.6,151.668,151.656,151.685,151.655,151.575
2024-04-03 13:30:00,USD,Crude Oil Inventories,3.2M,3.2M,151.657,151.667,151.69,151.656,151.576
2024-04-04 02:35:00,JPY,30-y Bond Auction,1.81|3.5,1.77|2.9,151.665,151.633,151.67,151.273,0.0
2024-04-04 13:30:00,USD,Natural Gas Storage,-37B,-36B,151.647,151.656,151.653,151.576,0.0
2024-04-04 22:30:00,JPY,Household Spending y/y,-0.5%,-6.3%,151.162,151.168,151.167,0.0,0.0
2024-04-05 04:00:00,JPY,Leading Indicators,111.8%,109.5%,151.297,151.357,151.31,0.0,0.0
2024-04-05 18:00:00,USD,Consumer Credit m/m,14.1B,17.7B,0.0,0.0,0.0,0.0,151.667
2024-04-07 22:30:00,JPY,Average Cash Earnings y/y,1.8%,1.5%,151.737,151.718,151.726,151.846,151.734
2024-04-07 22:50:00,JPY,Current Account,1.37T,2.75T,151.711,151.699,151.734,151.869,151.744
2024-04-08 04:00:00,JPY,Economy Watchers Sentiment,49.8,51.3,151.852,151.876,151.852,151.906,151.833
2024-04-09 04:00:00,JPY,Consumer Confidence,39.5,39.1,151.917,151.906,151.895,151.833,153.131
2024-04-09 04:58:00,JPY,Prelim Machine Tool Orders y/y,-3.8%,-8.0%,151.872,151.886,151.884,151.849,153.247
2024-04-09 09:00:00,USD,NFIB Small Business Index,88.5,89.4,151.75,151.78,151.76,152.44,152.901
2024-04-09 13:06:00,USD,RCM/TIPP Economic Optimism,43.2,43.5,151.688,151.683,151.692,152.971,153.217
2024-04-09 22:50:00,JPY,Bank Lending y/y,3.2%,3.0%,151.719,151.744,151.753,152.845,153.151
2024-04-10 13:00:00,USD,Final Wholesale Inventories m/m,0.5%,0.5%,152.959,152.94,152.963,153.235,153.07
2024-04-10 16:01:00,USD,10-y Bond Auction,4.56|2.3,4.17|2.5,152.965,152.949,152.947,153.228,153.254
2024-04-10 22:50:00,JPY,M2 Money Stock y/y,2.5%,2.4%,152.846,152.845,152.852,153.151,0.0
2024-04-11 11:30:00,USD,Core PPI m/m,0.2%,0.3%,153.281,153.308,153.283,153.078,0.0
2024-04-11 13:30:00,USD,Natural Gas Storage,24B,-37B,153.223,153.237,153.227,153.082,0.0
2024-04-11 16:01:00,USD,30-y Bond Auction,4.67|2.4,4.33|2.5,153.189,153.228,153.229,153.254,0.0
2024-04-12 03:30:00,JPY,Revised Industrial Production m/m,-0.6%,-0.1%,153.312,153.256,153.275,0.0,0.0
2024-04-12 11:30:00,USD,Import Prices m/m,0.4%,0.3%,153.026,153.078,153.137,0.0,0.0
2024-04-12 13:00:00,USD,Prelim UoM Consumer Sentiment,77.9,79.4,153.079,153.07,153.092,0.0,0.0
2024-04-14 23:50:00,JPY,Core Machinery Orders m/m,7.7%,-1.7%,153.681,153.662,153.675,154.339,154.657
2024-04-15 14:00:00,USD,Business Inventories m/m,0.4%,0.0%,154.207,154.187,154.177,154.729,154.302
2024-04-16 13:15:00,USD,Industrial Production m/m,0.4%,0.4%,154.63,154.657,154.69,154.319,154.632
2024-04-16 23:50:00,JPY,Trade Balance,-0.70T,-0.57T,154.61,154.657,154.647,154.269,154.246
2024-04-17 14:30:00,USD,Crude Oil Inventories,2.7M,5.8M,154.281,154.3,154.296,154.633,154.605
2024-04-17 20:00:00,USD,TIC Long-Term Purchases,71.5B,14.0B,154.33,154.335,154.396,154.613,0.0
2024-04-18 04:30:00,JPY,Tertiary Industry Activity m/m,1.5%,-0.5%,154.282,154.332,154.358,154.401,0.0
2024-04-18 12:30:00,USD,Unemployment Claims,212K,212K,154.599,154.615,154.608,154.593,0.0
2024-04-18 14:00:00,USD,Existing Home Sales,4.19M,4.38M,154.648,154.633,154.645,154.634,0.0
2024-04-18 14:30:00,USD,Natural Gas Storage,50B,24B,154.633,154.633,154.632,154.605,0.0
2024-04-18 23:30:00,JPY,National Core CPI y/y,2.6%,2.8%,154.208,154.353,154.313,0.0,0.0
2024-04-23 00:30:00,JPY,Flash Manufacturing PMI,49.9,48.2,154.75,154.738,154.743,154.848,155.476
2024-04-23 05:00:00,JPY,BOJ Core CPI y/y,2.2%,2.3%,154.851,154.843,154.828,154.889,155.665
2024-04-23 13:45:00,USD,Flash Manufacturing PMI,49.9,51.9,154.713,154.737,154.712,155.334,155.578
2024-04-23 13:59:00,USD,Richmond Manufacturing Index,-7,-11,154.749,154.749,154.727,155.287,155.564
2024-04-23 14:00:00,USD,New Home Sales,693K,637K,154.737,154.737,154.712,155.288,155.571
2024-04-23 23:50:00,JPY,SPPI y/y,2.3%,2.2%,154.842,154.833,154.841,155.44,156.036
2024-04-24 14:30:00,USD,Crude Oil Inventories,-6.4M,2.7M,155.292,155.295,155.317,155.545,157.725
2024-04-25 12:30:00,USD,Advance GDP q/q,1.6%,3.4%,155.579,155.527,155.538,157.645,0.0
2024-04-25 14:00:00,USD,Pending Home Sales m/m,3.4%,1.6%,155.588,155.571,155.578,157.7,0.0
2024-04-25 14:30:00,USD,Natural Gas Storage,92B,50B,155.543,155.545,155.534,157.725,0.0
2024-04-25 23:30:00,JPY,Tokyo Core CPI y/y,1.6%,2.4%,155.814,155.927,156.011,0.0,0.0
2024-04-26 12:30:00,USD,Core PCE Price Index m/m,0.3%,0.3%,157.65,157.645,157.658,0.0,0.0
2024-04-26 14:00:00,USD,Revised UoM Consumer Sentiment,77.2,77.9,157.727,157.7,157.706,0.0,0.0
2024-04-29 23:30:00,JPY,Unemployment Rate,2.6%,2.6%,156.855,156.829,156.8,157.854,156.08
2024-04-29 23:50:00,JPY,Prelim Industrial Production m/m,3.8%,-0.6%,156.785,156.771,156.753,157.916,155.99
2024-04-30 05:00:00,JPY,Housing Starts y/y,-12.8%,-8.2%,156.896,156.894,156.902,157.95,155.162
2024-04-30 13:00:00,USD,S&P/CS Composite-20 HPI y/y,7.3%,6.6%,157.467,157.448,157.476,157.617,153.739
